stationId,polluant,valeur,date,heure
68,"NO2",4,"2007-01-03",8
99,"PM",2,"2007-01-03",8
99,"O3",11,"2007-01-03",8
99,"NO2",2,"2007-01-03",8
1,"SO2",3,"2007-01-03",9
1,"O3",7,"2007-01-03",9
1,"NO2",5,"2007-01-03",9
3,"SO2",5,"2007-01-03",9
3,"CO",1,"2007-01-03",9
3,"PM",10,"2007-01-03",9
3,"O3",6,"2007-01-03",9
3,"NO2",5,"2007-01-03",9
12,"O3",13,"2007-01-03",9
12,"NO2",4,"2007-01-03",9
50,"PM",4,"2007-01-03",9
55,"PM",2,"2007-01-03",9
55,"O3",10,"2007-01-03",9
61,"SO2",2,"2007-01-03",9
61,"CO",1,"2007-01-03",9
61,"PM",3,"2007-01-03",9
61,"O3",4,"2007-01-03",9
61,"NO2",6,"2007-01-03",9
66,"CO",1,"2007-01-03",9
66,"PM",6,"2007-01-03",9
66,"O3",9,"2007-01-03",9
66,"NO2",5,"2007-01-03",9
68,"O3",8,"2007-01-03",9
68,"NO2",4,"2007-01-03",9
99,"PM",3,"2007-01-03",9
99,"O3",11,"2007-01-03",9
99,"NO2",1,"2007-01-03",9
1,"SO2",2,"2007-01-03",10
1,"O3",8,"2007-01-03",10
1,"NO2",4,"2007-01-03",10
3,"SO2",5,"2007-01-03",10
3,"CO",1,"2007-01-03",10
3,"PM",9,"2007-01-03",10
3,"O3",8,"2007-01-03",10
3,"NO2",5,"2007-01-03",10
12,"O3",10,"2007-01-03",10
12,"NO2",4,"2007-01-03",10
50,"PM",5,"2007-01-03",10
55,"PM",3,"2007-01-03",10
55,"O3",11,"2007-01-03",10
61,"SO2",1,"2007-01-03",10
61,"CO",1,"2007-01-03",10
61,"PM",5,"2007-01-03",10
61,"O3",4,"2007-01-03",10
61,"NO2",7,"2007-01-03",10
66,"CO",1,"2007-01-03",10
66,"PM",6,"2007-01-03",10
66,"O3",12,"2007-01-03",10
66,"NO2",5,"2007-01-03",10
68,"O3",11,"2007-01-03",10
68,"NO2",3,"2007-01-03",10
99,"PM",3,"2007-01-03",10
99,"O3",12,"2007-01-03",10
99,"NO2",1,"2007-01-03",10
1,"SO2",2,"2007-01-03",11
1,"O3",12,"2007-01-03",11
1,"NO2",3,"2007-01-03",11
3,"SO2",8,"2007-01-03",11
3,"CO",1,"2007-01-03",11
3,"PM",10,"2007-01-03",11
3,"O3",8,"2007-01-03",11
3,"NO2",5,"2007-01-03",11
12,"O3",14,"2007-01-03",11
12,"NO2",4,"2007-01-03",11
50,"PM",5,"2007-01-03",11
55,"PM",3,"2007-01-03",11
55,"O3",14,"2007-01-03",11
61,"SO2",1,"2007-01-03",11
61,"CO",2,"2007-01-03",11
61,"PM",5,"2007-01-03",11
61,"O3",7,"2007-01-03",11
61,"NO2",6,"2007-01-03",11
66,"CO",1,"2007-01-03",11
66,"PM",5,"2007-01-03",11
66,"O3",14,"2007-01-03",11
66,"NO2",2,"2007-01-03",11
68,"O3",12,"2007-01-03",11
68,"NO2",3,"2007-01-03",11
99,"PM",3,"2007-01-03",11
99,"O3",15,"2007-01-03",11
99,"NO2",1,"2007-01-03",11
1,"SO2",2,"2007-01-03",12
1,"O3",12,"2007-01-03",12
1,"NO2",3,"2007-01-03",12
3,"SO2",8,"2007-01-03",12
3,"CO",1,"2007-01-03",12
3,"PM",11,"2007-01-03",12
3,"O3",10,"2007-01-03",12
3,"NO2",5,"2007-01-03",12
12,"O3",16,"2007-01-03",12
12,"NO2",4,"2007-01-03",12
50,"PM",4,"2007-01-03",12
55,"PM",2,"2007-01-03",12
55,"O3",15,"2007-01-03",12
61,"SO2",2,"2007-01-03",12
61,"CO",1,"2007-01-03",12
61,"PM",4,"2007-01-03",12
61,"O3",8,"2007-01-03",12
61,"NO2",5,"2007-01-03",12
66,"CO",1,"2007-01-03",12
66,"PM",5,"2007-01-03",12
66,"O3",14,"2007-01-03",12
66,"NO2",3,"2007-01-03",12
68,"O3",13,"2007-01-03",12
68,"NO2",3,"2007-01-03",12
99,"PM",2,"2007-01-03",12
99,"O3",15,"2007-01-03",12
99,"NO2",1,"2007-01-03",12
1,"SO2",1,"2007-01-03",13
1,"O3",13,"2007-01-03",13
1,"NO2",3,"2007-01-03",13
3,"SO2",8,"2007-01-03",13
3,"CO",1,"2007-01-03",13
3,"PM",11,"2007-01-03",13
3,"O3",9,"2007-01-03",13
3,"NO2",5,"2007-01-03",13
12,"O3",17,"2007-01-03",13
12,"NO2",3,"2007-01-03",13
50,"PM",3,"2007-01-03",13
55,"PM",1,"2007-01-03",13
55,"O3",15,"2007-01-03",13
61,"SO2",2,"2007-01-03",13
61,"CO",2,"2007-01-03",13
61,"PM",2,"2007-01-03",13
61,"O3",9,"2007-01-03",13
61,"NO2",6,"2007-01-03",13
66,"CO",1,"2007-01-03",13
66,"PM",3,"2007-01-03",13
66,"O3",16,"2007-01-03",13
66,"NO2",2,"2007-01-03",13
68,"O3",14,"2007-01-03",13
68,"NO2",3,"2007-01-03",13
99,"PM",1,"2007-01-03",13
99,"O3",15,"2007-01-03",13
99,"NO2",1,"2007-01-03",13
1,"SO2",2,"2007-01-03",14
1,"O3",11,"2007-01-03",14
1,"NO2",4,"2007-01-03",14
3,"SO2",5,"2007-01-03",14
3,"CO",1,"2007-01-03",14
3,"PM",8,"2007-01-03",14
